resume_text,job_description,label
"Azure, Python, Docker, HTML","Looking for AI Engineer with skills: Python, Deep Learning, Machine Learning",0
"Git, CSS, Java, Azure, Node.js, Docker, Data Analysis","Looking for AI Engineer with skills: Python, Deep Learning, Machine Learning",0
"Java, AWS, C++, Kubernetes, Git, Data Analysis, React","Looking for Backend Developer with skills: Java, SQL, Docker, Git",0
"Git, CSS, Docker, Kubernetes, JavaScript, Azure, Machine Learning","Looking for DevOps Engineer with skills: Docker, Kubernetes, AWS, Linux",0
"Data Analysis, Docker, JavaScript, Machine Learning","Looking for AI Engineer with skills: Python, Deep Learning, Machine Learning",0
"Node.js, Docker, Machine Learning, AWS","Looking for AI Engineer with skills: Python, Deep Learning, Machine Learning",0
"Deep Learning, HTML, Azure, CSS, Node.js, Java","Looking for DevOps Engineer with skills: Docker, Kubernetes, AWS, Linux",0
"Azure, Machine Learning, JavaScript, Data Analysis, Linux","Looking for Backend Developer with skills: Java, SQL, Docker, Git",0
"AWS, Azure, Docker, CSS, Node.js","Looking for AI Engineer with skills: Python, Deep Learning, Machine Learning",0
"SQL, CSS, Machine Learning, C++, Kubernetes, Azure, Docker","Looking for DevOps Engineer with skills: Docker, Kubernetes, AWS, Linux",0
"Java, AWS, CSS, Docker, Azure, JavaScript, Node.js","Looking for Backend Developer with skills: Java, SQL, Docker, Git",0
"Java, React, Git, JavaScript","Looking for AI Engineer with skills: Python, Deep Learning, Machine Learning",0
"SQL, Node.js, CSS, Python, React, Git, Java","Looking for AI Engineer with skills: Python, Deep Learning, Machine Learning",0
"SQL, Data Analysis, Python, C++, AWS","Looking for DevOps Engineer with skills: Docker, Kubernetes, AWS, Linux",0
"Java, Linux, Data Analysis, React, Python, Node.js, C++","Looking for Frontend Developer with skills: HTML, CSS, JavaScript, React",0
"Git, Docker, Linux, Node.js, Data Analysis","Looking for Data Scientist with skills: Python, Machine Learning, SQL, Data Analysis",0
"React, C++, Deep Learning, Java, JavaScript, CSS","Looking for Backend Developer with skills: Java, SQL, Docker, Git",0
"Azure, Node.js, Deep Learning, Linux, Git, SQL, Kubernetes","Looking for Backend Developer with skills: Java, SQL, Docker, Git",1
"SQL, Docker, Python, CSS, AWS, C++","Looking for Backend Developer with skills: Java, SQL, Docker, Git",1
"C++, JavaScript, Linux, HTML, Machine Learning, AWS","Looking for DevOps Engineer with skills: Docker, Kubernetes, AWS, Linux",0
"Azure, Git, Python, React","Looking for AI Engineer with skills: Python, Deep Learning, Machine Learning",0
"Python, Linux, React, CSS, SQL","Looking for Backend Developer with skills: Java, SQL, Docker, Git",0
"AWS, Data Analysis, React, Node.js, HTML, CSS","Looking for DevOps Engineer with skills: Docker, Kubernetes, AWS, Linux",0
"Node.js, Linux, Git, HTML","Looking for Frontend Developer with skills: HTML, CSS, JavaScript, React",0
"Kubernetes, Machine Learning, C++, SQL, CSS","Looking for DevOps Engineer with skills: Docker, Kubernetes, AWS, Linux",0
"Python, Linux, AWS, Docker, C++, Data Analysis, SQL","Looking for AI Engineer with skills: Python, Deep Learning, Machine Learning",0
"JavaScript, SQL, Git, Machine Learning","Looking for DevOps Engineer with skills: Docker, Kubernetes, AWS, Linux",0
"SQL, Kubernetes, Docker, Git","Looking for AI Engineer with skills: Python, Deep Learning, Machine Learning",0
"Linux, JavaScript, HTML, SQL, Python, Git, React","Looking for Backend Developer with skills: Java, SQL, Docker, Git",0
"Kubernetes, Linux, CSS, AWS","Looking for Backend Developer with skills: Java, SQL, Docker, Git",0
"JavaScript, React, Machine Learning, C++, Kubernetes","Looking for Frontend Developer with skills: HTML, CSS, JavaScript, React",0
"CSS, Azure, Node.js, Python, Docker","Looking for DevOps Engineer with skills: Docker, Kubernetes, AWS, Linux",0
"Data Analysis, Docker, Azure, AWS, Node.js, React, Java","Looking for Data Scientist with skills: Python, Machine Learning, SQL, Data Analysis",0
"C++, Node.js, JavaScript, Python, CSS","Looking for AI Engineer with skills: Python, Deep Learning, Machine Learning",0
"Git, Kubernetes, React, Docker, Data Analysis","Looking for AI Engineer with skills: Python, Deep Learning, Machine Learning",0
"HTML, Kubernetes, Linux, Deep Learning, SQL","Looking for Data Scientist with skills: Python, Machine Learning, SQL, Data Analysis",0
"Azure, React, Kubernetes, Deep Learning, Machine Learning, Node.js","Looking for Backend Developer with skills: Java, SQL, Docker, Git",0
"Deep Learning, Java, JavaScript, Linux, Node.js","Looking for Backend Developer with skills: Java, SQL, Docker, Git",0
"Linux, Node.js, CSS, Data Analysis, Deep Learning, Kubernetes","Looking for Data Scientist with skills: Python, Machine Learning, SQL, Data Analysis",0
"CSS, Machine Learning, Docker, AWS, Kubernetes, Data Analysis, Node.js","Looking for Data Scientist with skills: Python, Machine Learning, SQL, Data Analysis",1
"AWS, Linux, Node.js, Machine Learning, Kubernetes, Docker, Deep Learning","Looking for Backend Developer with skills: Java, SQL, Docker, Git",0
"Kubernetes, C++, HTML, React, Machine Learning","Looking for Backend Developer with skills: Java, SQL, Docker, Git",0
"JavaScript, Node.js, AWS, Docker","Looking for Frontend Developer with skills: HTML, CSS, JavaScript, React",0
"Machine Learning, Docker, JavaScript, Linux, Node.js, Python, SQL","Looking for Data Scientist with skills: Python, Machine Learning, SQL, Data Analysis",1
"Node.js, React, C++, Docker","Looking for Frontend Developer with skills: HTML, CSS, JavaScript, React",0
"CSS, Git, AWS, Java","Looking for Data Scientist with skills: Python, Machine Learning, SQL, Data Analysis",0
"AWS, Kubernetes, HTML, Linux, Python, Machine Learning","Looking for AI Engineer with skills: Python, Deep Learning, Machine Learning",0
"Kubernetes, Git, Python, JavaScript, Linux, React, Java","Looking for Data Scientist with skills: Python, Machine Learning, SQL, Data Analysis",0
"Node.js, Java, Git, React","Looking for AI Engineer with skills: Python, Deep Learning, Machine Learning",0
"Java, React, Python, CSS","Looking for Frontend Developer with skills: HTML, CSS, JavaScript, React",1
"Azure, Python, Docker, HTML, JavaScript","Looking for Backend Developer with skills: Java, SQL, Docker, Git",0
"Python, Java, Node.js, React","Looking for DevOps Engineer with skills: Docker, Kubernetes, AWS, Linux",0
"Azure, Docker, Git, CSS, Kubernetes, React, Linux","Looking for Data Scientist with skills: Python, Machine Learning, SQL, Data Analysis",0
"C++, JavaScript, Node.js, Python, CSS, Linux","Looking for AI Engineer with skills: Python, Deep Learning, Machine Learning",0
"C++, Kubernetes, AWS, Deep Learning, Data Analysis, Git","Looking for Backend Developer with skills: Java, SQL, Docker, Git",0
