id,cv_id,jd_id,cv_text,jd_text,label,job_category
874,CV_0874,JD_430,"Mid-level Backend Developer with 3+ years of experience. Proficient in Java, Django, Node.js, Python. Strong problem-solving and communication skills.","We are hiring Mid-level Business Analyst. Requirements: 4+ years experience in Java, Data Structures, System Design, Git. Bachelor's degree required.",0,Backend Developer
2282,CV_2282,JD_478,"Mid-level Network Engineer with 7+ years of experience. Proficient in Git, Python, Algorithms, Agile, Java. Strong problem-solving and communication skills.","We are hiring Mid-level Network Engineer. Requirements: 2+ years experience in Agile, Python, Algorithms, System Design. Bachelor's degree required.",1,Network Engineer
2173,CV_2173,JD_361,"Senior UI/UX Designer with 2+ years of experience. Proficient in Java, Git, Data Structures, Algorithms. Strong problem-solving and communication skills.","We are hiring Senior UI/UX Designer. Requirements: 2+ years experience in System Design, Data Structures, Git, Agile. Bachelor's degree required.",1,UI/UX Designer
1632,CV_1632,JD_075,"Junior Security Engineer with 4+ years of experience. Proficient in Agile, Data Structures, System Design, Git. Strong problem-solving and communication skills.","We are hiring Junior Security Engineer. Requirements: 4+ years experience in Java, Agile, Algorithms. Bachelor's degree required.",1,Security Engineer
54,CV_0054,JD_391,"Senior Data Scientist with 5+ years of experience. Proficient in Data Visualization, SQL, Statistics, PyTorch. Strong problem-solving and communication skills.","We are hiring Senior Data Scientist. Requirements: 4+ years experience in Statistics, R, PyTorch. Bachelor's degree required.",1,Data Scientist
686,CV_0686,JD_075,"Junior Software Engineer with 9+ years of experience. Proficient in Data Structures, Java, System Design, Algorithms, Git. Strong problem-solving and communication skills.","We are hiring Junior Security Engineer. Requirements: 3+ years experience in Agile, Python, System Design. Bachelor's degree required.",0,Software Engineer
2138,CV_2138,JD_471,"Mid-level Product Manager with 9+ years of experience. Proficient in Analytics, Scrum, Product Strategy, Agile. Strong problem-solving and communication skills.","We are hiring Mid-level Business Analyst. Requirements: 3+ years experience in System Design, Algorithms, Java, Git. Bachelor's degree required.",0,Product Manager
611,CV_0611,JD_081,"Senior Fullstack Developer with 5+ years of experience. Proficient in Java, System Design, Agile, Data Structures, Algorithms. Strong problem-solving and communication skills.","We are hiring Senior Data Engineer. Requirements: 7+ years experience in Algorithms, Git, System Design. Bachelor's degree required.",0,Fullstack Developer
308,CV_0308,JD_405,"Mid-level UI/UX Designer with 6+ years of experience. Proficient in Java, Python, Git. Strong problem-solving and communication skills.","We are hiring Mid-level Data Engineer. Requirements: 2+ years experience in Agile, Java, Python, Algorithms, Data Structures. Bachelor's degree required.",0,UI/UX Designer
938,CV_0938,JD_437,"Senior DevOps Engineer with 7+ years of experience. Proficient in Linux, CI/CD, Terraform, Git. Strong problem-solving and communication skills.","We are hiring Senior DevOps Engineer. Requirements: 5+ years experience in Linux, Kubernetes, Git. Bachelor's degree required.",1,DevOps Engineer
